contrato,status,data_vigencia,data_checagem,verificado,dias_atraso,parcela_atual,valor_parcela,vencimento_mes_atual,data_para_checar,dias_desde_vencimento,d3_cai_proximo_mes,pode_checar,deve_checar_hoje,motivo
2044201000,Cancelado por Inadimplência,2024-01-25,2025-08-28,True,0,18,102.64,2025-12-25,2025-12-28,,False,False,False,Status: Cancelado por Inadimplência
2482805000,Cancelado por Inadimplência,2025-06-11,2025-09-15,True,0,1,115.6,2025-12-11,2025-12-14,,False,False,False,Status: Cancelado por Inadimplência
2020119000,Cancelado por Inadimplência,2023-11-28,2025-07-03,True,0,17,90.36,2025-12-28,2025-12-31,,False,False,False,Status: Cancelado por Inadimplência
2266110000,Cancelado por Inadimplência,2024-12-20,2025-08-23,True,0,7,149.4,2025-12-20,2025-12-23,,False,False,False,Status: Cancelado por Inadimplência
2438224000,Cancelado por Inadimplência,2025-05-06,2025-08-08,True,0,1,149.4,2025-12-06,2025-12-09,,False,True,False,Status: Cancelado por Inadimplência
1990555000,Cancelado por Inadimplência,2023-09-26,2025-05-29,True,0,20,104.88,2025-12-26,2025-12-29,,False,False,False,Status: Cancelado por Inadimplência
2266417000,Cancelado por Inadimplência,2024-12-20,2025-08-23,True,0,6,368.25,2025-12-20,2025-12-23,,False,False,False,Status: Cancelado por Inadimplência
2015302000,Cancelado por Inadimplência,2023-11-16,2025-09-19,True,0,22,70.28,2025-12-16,2025-12-19,,False,False,False,Status: Cancelado por Inadimplência
2229655000,Cancelado por Inadimplência,2024-10-10,2025-09-15,True,0,9,57.8,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2264349000,Cancelado por Inadimplência,2024-12-17,2025-08-20,True,0,6,57.8,2025-12-17,2025-12-20,,False,False,False,Status: Cancelado por Inadimplência
2081499000,Cancelado por Inadimplência,2024-04-12,2025-05-15,True,0,13,314.08,2025-12-12,2025-12-15,,False,False,False,Status: Cancelado por Inadimplência
2384256000,Cancelado por Inadimplência,2025-03-18,2025-09-30,True,0,6,117.84,2025-12-18,2025-12-21,,False,False,False,Status: Cancelado por Inadimplência
2284230000,Em dia,2025-01-28,2025-08-31,False,0,8,86.7,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2033288000,Cancelado por Inadimplência,2023-12-27,2025-05-30,True,0,15,60.4,2025-12-27,2025-12-30,,False,False,False,Status: Cancelado por Inadimplência
2398052000,Cancelado por Inadimplência,2025-04-01,2025-08-05,True,0,2,57.8,2025-12-01,2025-12-04,,False,True,False,Status: Cancelado por Inadimplência
1809013000,Em dia,2022-08-30,2025-08-13,False,0,36,90.63,2025-12-30,2026-01-02,-18,True,False,False,D+3 ainda não atingido (dias desde vencimento: -18)
2243069000,Cancelado por Inadimplência,2024-11-11,2025-07-15,True,0,6,115.6,2025-12-11,2025-12-14,,False,False,False,Status: Cancelado por Inadimplência
2433822000,Cancelado por Inadimplência,2025-05-02,2025-09-01,True,0,3,94.52,2025-12-02,2025-12-05,,False,True,False,Status: Cancelado por Inadimplência
2436584000,Cancelado por Inadimplência,2025-05-05,2025-09-15,True,0,2,57.8,2025-12-05,2025-12-08,,False,True,False,Status: Cancelado por Inadimplência
2042973000,Cancelado por Inadimplência,2024-01-22,2025-06-25,True,0,15,105.45,2025-12-22,2025-12-25,,False,False,False,Status: Cancelado por Inadimplência
2234310000,Cancelado por Inadimplência,2024-10-22,2025-09-26,True,0,9,86.7,2025-12-22,2025-12-25,,False,False,False,Status: Cancelado por Inadimplência
1842620000,Em dia,2022-11-28,2025-08-31,False,0,28,120.96,2025-12-28,2025-12-31,,False,False,False,D+3 ainda não atingido (dias desde vencimento: None)
2163861000,Cancelado por Inadimplência,2024-06-10,2025-06-11,True,0,10,144.5,2025-12-10,2025-12-13,,False,False,False,Status: Cancelado por Inadimplência
2166241000,Cancelado por Inadimplência,2024-06-14,2025-09-17,True,0,15,182.28,2025-12-14,2025-12-17,,False,False,False,Status: Cancelado por Inadimplência
2187031000,Cancelado por Inadimplência,2024-08-13,2025-07-16,True,0,9,115.6,2025-12-13,2025-12-16,,False,False,False,Status: Cancelado por Inadimplência
2267010000,Cancelado por Inadimplência,2024-12-24,2025-06-14,True,0,3,94.52,2025-12-24,2025-12-27,,False,False,False,Status: Cancelado por Inadimplência
2266582000,Cancelado por Inadimplência,2024-12-20,2025-06-24,True,0,4,86.7,2025-12-20,2025-12-23,,False,False,False,Status: Cancelado por Inadimplência
2268326000,Cancelado por Inadimplência,2024-12-26,2025-07-24,True,0,7,144.5,2025-12-26,2025-12-29,,False,False,False,Status: Cancelado por Inadimplência
2267202000,Cancelado por Inadimplência,2024-12-23,2025-07-31,True,0,5,94.52,2025-12-23,2025-12-26,,False,False,False,Status: Cancelado por Inadimplência
2185368000,Cancelado por Inadimplência,2024-08-09,2025-07-12,True,0,9,57.8,2025-12-09,2025-12-12,,False,True,False,Status: Cancelado por Inadimplência
2435092000,Cancelado por Inadimplência,2025-05-05,2025-08-07,True,0,1,141.78,2025-12-05,2025-12-08,,False,True,False,Status: Cancelado por Inadimplência
2438174000,Cancelado por Inadimplência,2025-05-06,2025-08-08,True,0,1,86.7,2025-12-06,2025-12-09,,False,True,False,Status: Cancelado por Inadimplência
2004370000,Cancelado por Inadimplência,2023-10-24,2025-05-29,True,0,17,90.12,2025-12-24,2025-12-27,,False,False,False,Status: Cancelado por Inadimplência
2162173000,Cancelado por Inadimplência,2024-06-05,2025-06-08,True,0,10,86.7,2025-12-05,2025-12-08,,False,True,False,Status: Cancelado por Inadimplência
2267626000,Cancelado por Inadimplência,2024-12-23,2025-06-25,True,0,4,94.52,2025-12-23,2025-12-26,,False,False,False,Status: Cancelado por Inadimplência
2021644000,Cancelado por Inadimplência,2023-11-30,2025-04-24,True,0,14,70.28,2025-12-30,2026-01-02,-18,True,False,False,Status: Cancelado por Inadimplência
